,SVXY,SVXY,SVXY,SVXY,SVXY,SVXY,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2009-03-11,,,,,,,73.0,73.75,71.83000183105469,72.63999938964844,56.5096321105957,356648300
2009-03-12,,,,,,,72.62000274658203,75.75,71.97000122070312,75.5,58.73451232910156,409702700
2009-03-13,,,,,,,76.01000213623047,76.9800033569336,74.7300033569336,76.08999633789062,59.19352340698242,337474700
2009-03-16,,,,,,,76.95999908447266,77.97000122070312,75.80999755859375,75.86000061035156,59.014583587646484,360644900
2009-03-17,,,,,,,76.06999969482422,78.36000061035156,75.44999694824219,78.18000030517578,60.81942367553711,356814300
2009-03-18,,,,,,,77.80999755859375,80.9000015258789,77.06999969482422,79.93000030517578,62.1807975769043,473273200
2009-03-19,,,,,,,80.93000030517578,81.0,78.69000244140625,78.94000244140625,61.410614013671875,428520400
2009-03-20,,,,,,,78.76000213623047,78.91000366210938,76.52999877929688,76.70999908447266,60.102989196777344,371078200
2009-03-23,,,,,,,78.73999786376953,82.29000091552734,78.30999755859375,82.22000122070312,64.42008972167969,419933300
2009-03-24,,,,,,,81.23999786376953,82.36000061035156,80.51000213623047,80.5999984741211,63.15079116821289,330271000
2009-03-25,,,,,,,81.2300033569336,82.69999694824219,79.05999755859375,81.44999694824219,63.81678009033203,441775100
2009-03-26,,,,,,,82.25,83.30000305175781,81.31999969482422,83.11000061035156,65.117431640625,422025200
2009-03-27,,,,,,,82.05000305175781,82.52999877929688,81.30999755859375,81.61000061035156,63.94215393066406,322332300
2009-03-30,,,,,,,79.80000305175781,79.87000274658203,77.95999908447266,78.79000091552734,61.73265838623047,324108500
2009-03-31,,,,,,,79.55999755859375,81.08000183105469,79.05000305175781,79.5199966430664,62.304622650146484,364238300
2009-04-01,,,,,,,78.52999877929688,81.41999816894531,78.33000183105469,81.05999755859375,63.51121520996094,377018300
2009-04-02,,,,,,,83.08000183105469,84.61000061035156,81.12999725341797,83.43000030517578,65.36817932128906,476230700
2009-04-03,,,,,,,83.48999786376953,84.27999877929688,82.66999816894531,84.26000213623047,66.01844787597656,284646300
2009-04-06,,,,,,,83.33999633789062,84.27999877929688,82.29000091552734,83.5999984741211,65.50132751464844,264866600
2009-04-07,,,,,,,82.25,82.6500015258789,81.51000213623047,81.6500015258789,63.97351837158203,258947800
2009-04-08,,,,,,,82.05999755859375,82.94000244140625,81.54000091552734,82.52999877929688,64.66299438476562,230402800
2009-04-09,,,,,,,84.66999816894531,85.81999969482422,84.33000183105469,85.80999755859375,67.23290252685547,269653500
2009-04-13,,,,,,,84.91999816894531,86.54000091552734,84.58000183105469,85.83000183105469,67.24858856201172,224847500
2009-04-14,,,,,,,85.02999877929688,85.76000213623047,84.08000183105469,84.3499984741211,66.08897399902344,276598800
2009-04-15,,,,,,,83.83999633789062,85.41999816894531,83.61000061035156,85.25,66.79414367675781,250726100
2009-04-16,,,,,,,85.93000030517578,87.1500015258789,84.7699966430664,86.5,67.77351379394531,335202900
2009-04-17,,,,,,,86.83000183105469,87.6500015258789,86.13999938964844,87.08000183105469,68.22793579101562,262649000
2009-04-20,,,,,,,85.54000091552734,87.05000305175781,83.33999633789062,83.43000030517578,65.36817932128906,293690100
2009-04-21,,,,,,,82.81999969482422,85.12999725341797,82.75,85.05999755859375,66.64527893066406,114090900
2009-04-22,,,,,,,84.29000091552734,86.33999633789062,84.06999969482422,84.54000091552734,66.23784637451172,340395200
2009-04-23,,,,,,,84.70999908447266,85.41999816894531,83.62999725341797,85.37000274658203,66.8881607055664,324903700
2009-04-24,,,,,,,86.02999877929688,87.30999755859375,85.69000244140625,86.66000366210938,67.89886474609375,287703000
2009-04-27,,,,,,,85.68000030517578,87.01000213623047,85.54000091552734,85.83999633789062,67.25639343261719,289581600
2009-04-28,,,,,,,84.97000122070312,86.58999633789062,84.76000213623047,85.56999969482422,67.04486846923828,247926300
2009-04-29,,,,,,,86.5199966430664,88.36000061035156,86.30000305175781,87.38999938964844,68.47087097167969,311505700
2009-04-30,,,,,,,88.55000305175781,89.0199966430664,86.91999816894531,87.41999816894531,68.49433135986328,301419800
2009-05-01,,,,,,,87.44000244140625,88.20999908447266,86.72000122070312,87.88999938964844,68.86260986328125,236110300
2009-05-04,,,,,,,88.55000305175781,90.94000244140625,88.37999725341797,90.87999725341797,71.20530700683594,287120000
2009-05-05,,,,,,,90.56999969482422,90.93000030517578,89.83999633789062,90.56999969482422,70.96240234375,243036300
2009-05-06,,,,,,,91.68000030517578,92.19999694824219,90.61000061035156,92.13999938964844,72.19249725341797,291941000
2009-05-07,,,,,,,93.01000213623047,93.1500015258789,90.27999877929688,90.86000061035156,71.18961334228516,317728000
2009-05-08,,,,,,,92.02999877929688,93.22000122070312,91.44000244140625,92.9800033569336,72.85066986083984,299081700
2009-05-11,,,,,,,91.69999694824219,92.11000061035156,91.04000091552734,91.23999786376953,71.48735046386719,247923600
2009-05-12,,,,,,,91.62999725341797,91.83000183105469,89.8499984741211,90.97000122070312,71.27581787109375,282431300
2009-05-13,,,,,,,89.73999786376953,90.01000213623047,88.5,88.68000030517578,69.4815444946289,269619100
2009-05-14,,,,,,,88.72000122070312,90.12000274658203,88.5,89.44000244140625,70.07705688476562,260098700
2009-05-15,,,,,,,89.37000274658203,90.0,88.1500015258789,88.70999908447266,69.50509643554688,271502700
2009-05-18,,,,,,,89.55000305175781,91.33999633789062,88.56999969482422,91.2300033569336,71.47949981689453,241447400
2009-05-19,,,,,,,91.18000030517578,91.97000122070312,90.80999755859375,91.12000274658203,71.3933334350586,206102200
2009-05-20,,,,,,,91.94999694824219,92.80000305175781,90.41000366210938,90.51000213623047,70.9154052734375,285722200
2009-05-21,,,,,,,89.45999908447266,89.80000305175781,88.26000213623047,89.20999908447266,69.8968276977539,258988400
2009-05-22,,,,,,,89.45999908447266,90.0,88.68000030517578,89.0199966430664,69.74797058105469,166811900
2009-05-26,,,,,,,88.36000061035156,91.55999755859375,88.31999969482422,91.30000305175781,71.53437042236328,236318500
2009-05-27,,,,,,,91.44000244140625,91.75,89.52999877929688,89.66999816894531,70.25724792480469,246015800
2009-05-28,,,,,,,90.45999908447266,91.33999633789062,89.0999984741211,90.91999816894531,71.23663330078125,289095000
2009-05-29,,,,,,,91.41999816894531,93.69999694824219,90.68000030517578,92.52999877929688,72.498046875,258641500
2009-06-01,,,,,,,93.66999816894531,95.16999816894531,93.43000030517578,94.7699966430664,74.25314331054688,276246800
2009-06-02,,,,,,,94.4000015258789,95.37000274658203,94.2300033569336,94.8499984741211,74.31578826904297,230874500
2009-06-03,,,,,,,94.04000091552734,94.12999725341797,92.76000213623047,93.6500015258789,73.37559509277344,235310500
2009-06-04,,,,,,,94.0,94.66999816894531,93.30000305175781,94.52999877929688,74.06510925292969,210102300
2009-06-05,,,,,,,95.48999786376953,95.66999816894531,93.80000305175781,94.55000305175781,74.08078002929688,284257900
